Title,Summary,EventDate,DatePrecision,Category,Importance,SourceType,SourceKey,SourceUrl
"Queen at Swiss Cottage Private School, London, UK","Queen performed at Swiss Cottage Private School in London, UK.",1970-09-04,ExactDate,Concert,30,Curated,queenconcerts-5,https://www.queenconcerts.com/detail/live/5/queen-live-04-09-1970-swiss-cottage-private-school-london-uk.html
"Queen at College of Estates Manag., London, UK","Queen performed at College of Estates Manag. in London, UK.",1970-10-16,ExactDate,Concert,30,Curated,queenconcerts-6,https://www.queenconcerts.com/detail/live/6/queen-live-16-10-1970-college-of-estates-manag-london-uk.html
"Queen at Clouds, Derby, UK","Queen performed at Clouds in Derby, UK.",1970-10-22,ExactDate,Concert,30,Curated,queenconcerts-2422,https://www.queenconcerts.com/detail/live/2422/queen-live-22-10-1970-clouds-derby-uk.html
"Queen at Potter's Bar Youth Club, London, UK","Queen performed at Potter's Bar Youth Club in London, UK.",1970-10-23,ExactDate,Concert,30,Curated,queenconcerts-1980,https://www.queenconcerts.com/detail/live/1980/queen-live-23-10-1970-potters-bar-youth-club-london-uk.html
"Queen at College of Technology, St. Helens, UK","Queen performed at College of Technology in St. Helens, UK.",1970-10-30,ExactDate,Concert,30,Curated,queenconcerts-7,https://www.queenconcerts.com/detail/live/7/queen-live-30-10-1970-college-of-technology-st-helens-uk.html
"Queen at Balls Park College, Hertford, UK","Queen performed at Balls Park College in Hertford, UK.",1970-11-14,ExactDate,Concert,30,Curated,queenconcerts-9,https://www.queenconcerts.com/detail/live/9/queen-live-14-11-1970-balls-park-college-hertford-uk.html
"Queen at Cavern Club, Liverpool, UK","Queen performed at Cavern Club in Liverpool, UK.",1970-11-27,ExactDate,Concert,30,Curated,queenconcerts-8,https://www.queenconcerts.com/detail/live/8/queen-live-27-11-1970-cavern-club-liverpool-uk.html
"Queen at Cavern Club, Liverpool, UK","Queen performed at Cavern Club in Liverpool, UK.",1970-11-28,ExactDate,Concert,30,Curated,queenconcerts-2472,https://www.queenconcerts.com/detail/live/2472/queen-live-28-11-1970-cavern-club-liverpool-uk.html
"Queen at Shoreditch College, Egham, UK","Queen performed at Shoreditch College in Egham, UK.",1970-12-05,ExactDate,Concert,30,Curated,queenconcerts-10,https://www.queenconcerts.com/detail/live/10/queen-live-05-12-1970-shoreditch-college-egham-uk.html
"Queen at Byam Shaw School of Art, London, UK","Queen performed at Byam Shaw School of Art in London, UK.",1970-12-10,ExactDate,Concert,30,Curated,queenconcerts-2295,https://www.queenconcerts.com/detail/live/2295/queen-live-10-12-1970-byam-shaw-school-of-art-london-uk.html
"Queen at College of Technology, St. Helens, UK","Queen performed at College of Technology in St. Helens, UK.",1970-12-18,ExactDate,Concert,30,Curated,queenconcerts-11,https://www.queenconcerts.com/detail/live/11/queen-live-18-12-1970-college-of-technology-st-helens-uk.html
"Queen at Congregational Church Hall, St. Helens, UK","Queen performed at Congregational Church Hall in St. Helens, UK.",1970-12-19,ExactDate,Concert,30,Curated,queenconcerts-12,https://www.queenconcerts.com/detail/live/12/queen-live-19-12-1970-congregational-church-hall-st-helens-uk.html
"Queen at Technical College, Ewell, UK","Queen performed at Technical College in Ewell, UK.",1971-01-09,ExactDate,Concert,30,Curated,queenconcerts-14,https://www.queenconcerts.com/detail/live/14/queen-live-09-01-1971-technical-college-ewell-uk.html
"Queen at Hornsey Town Hall, London, UK","Queen performed at Hornsey Town Hall in London, UK.",1971-02-19,ExactDate,Concert,30,Curated,queenconcerts-15,https://www.queenconcerts.com/detail/live/15/queen-live-19-02-1971-hornsey-town-hall-london-uk.html
"Queen at Kingston Polytechnic, London, UK","Queen performed at Kingston Polytechnic in London, UK.",1971-02-20,ExactDate,Concert,30,Curated,queenconcerts-16,https://www.queenconcerts.com/detail/live/16/queen-live-20-02-1971-kingston-polytechnic-london-uk.html
