QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Queen Quiz: Easy (Part 1),Easy Queen questions drawn from supplied books and official sources.,Which Queen member designed the band's crest logo?,Members,easy,1,Freddie Mercury,true
Queen Quiz: Easy (Part 1),,Which Queen member designed the band's crest logo?,,,,Brian May,false
Queen Quiz: Easy (Part 1),,Which Queen member designed the band's crest logo?,,,,Paul Rodgers,false
Queen Quiz: Easy (Part 1),,Which Queen member designed the band's crest logo?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 1),,What was the name of Brian May and Roger Taylor's band before Queen?,Origins,easy,1,Smile,true
Queen Quiz: Easy (Part 1),,What was the name of Brian May and Roger Taylor's band before Queen?,,,,The Opposition,false
Queen Quiz: Easy (Part 1),,What was the name of Brian May and Roger Taylor's band before Queen?,,,,The Cross,false
Queen Quiz: Easy (Part 1),,What was the name of Brian May and Roger Taylor's band before Queen?,,,,1984,false
Queen Quiz: Easy (Part 1),,Which member of Queen studied dentistry before turning to biology?,Members,easy,1,John Deacon,false
Queen Quiz: Easy (Part 1),,Which member of Queen studied dentistry before turning to biology?,,,,Roger Taylor,true
Queen Quiz: Easy (Part 1),,Which member of Queen studied dentistry before turning to biology?,,,,Brian May,false
Queen Quiz: Easy (Part 1),,Which member of Queen studied dentistry before turning to biology?,,,,Tim Staffell,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'The Show Must Go On'?,Albums,easy,1,Made in Heaven,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'The Show Must Go On'?,,,,The Miracle,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'The Show Must Go On'?,,,,Innuendo,true
Queen Quiz: Easy (Part 1),,Which Queen album contains 'The Show Must Go On'?,,,,Queen,false
Queen Quiz: Easy (Part 1),,Which Queen album was released in 1984?,Albums,easy,1,A Kind of Magic,false
Queen Quiz: Easy (Part 1),,Which Queen album was released in 1984?,,,,Hot Space,false
Queen Quiz: Easy (Part 1),,Which Queen album was released in 1984?,,,,The Works,true
Queen Quiz: Easy (Part 1),,Which Queen album was released in 1984?,,,,The Miracle,false
Queen Quiz: Easy (Part 1),,Which Queen song was recorded with David Bowie?,Songs,easy,1,I Want to Break Free,false
Queen Quiz: Easy (Part 1),,Which Queen song was recorded with David Bowie?,,,,Under Pressure,true
Queen Quiz: Easy (Part 1),,Which Queen song was recorded with David Bowie?,,,,Radio Ga Ga,false
Queen Quiz: Easy (Part 1),,Which Queen song was recorded with David Bowie?,,,,Crazy Little Thing Called Love,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'We Are the Champions'?,Albums,easy,1,Jazz,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'We Are the Champions'?,,,,News of the World,true
Queen Quiz: Easy (Part 1),,Which Queen album contains 'We Are the Champions'?,,,,A Day at the Races,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'We Are the Champions'?,,,,The Game,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Radio Ga Ga'?,Members,easy,1,John Deacon,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Radio Ga Ga'?,,,,Brian May,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Radio Ga Ga'?,,,,Tim Staffell,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Radio Ga Ga'?,,,,Roger Taylor,true
