QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Queen Quiz: Encore (Part 1),"25 new Queen questions spanning the albums, solo projects, band members, and the years after Freddie.",On which Queen studio album is 'Long Away' found in the original track list?,Albums,easy,1,A Day at the Races,true
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Long Away' found in the original track list?,,,,News of the World,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Long Away' found in the original track list?,,,,A Night at the Opera,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Long Away' found in the original track list?,,,,The Game,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Some Day One Day' and 'The Loser in the End' on its original track list?,Albums,easy,1,Queen,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Some Day One Day' and 'The Loser in the End' on its original track list?,,,,Queen II,true
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Some Day One Day' and 'The Loser in the End' on its original track list?,,,,The Game,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Some Day One Day' and 'The Loser in the End' on its original track list?,,,,A Night at the Opera,false
Queen Quiz: Encore (Part 1),,On which TV competition's 2009 final did Brian May and Roger Taylor first perform with Adam Lambert?,After Freddie,easy,1,The X Factor,false
Queen Quiz: Encore (Part 1),,On which TV competition's 2009 final did Brian May and Roger Taylor first perform with Adam Lambert?,,,,The Voice,false
Queen Quiz: Encore (Part 1),,On which TV competition's 2009 final did Brian May and Roger Taylor first perform with Adam Lambert?,,,,American Idol,true
Queen Quiz: Encore (Part 1),,On which TV competition's 2009 final did Brian May and Roger Taylor first perform with Adam Lambert?,,,,Britain's Got Talent,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Lily of the Valley' and 'Now I'm Here' on its original track list?,Albums,medium,2,Jazz,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Lily of the Valley' and 'Now I'm Here' on its original track list?,,,,Queen II,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Lily of the Valley' and 'Now I'm Here' on its original track list?,,,,News of the World,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'Lily of the Valley' and 'Now I'm Here' on its original track list?,,,,Sheer Heart Attack,true
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Modern Times Rock 'n' Roll' found in the original track list?,Albums,medium,2,Queen,true
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Modern Times Rock 'n' Roll' found in the original track list?,,,,Jazz,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Modern Times Rock 'n' Roll' found in the original track list?,,,,Innuendo,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Modern Times Rock 'n' Roll' found in the original track list?,,,,The Works,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'I Want to Break Free' and 'Keep Passing the Open Windows' on its original track list?,Albums,medium,2,A Kind of Magic,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'I Want to Break Free' and 'Keep Passing the Open Windows' on its original track list?,,,,The Works,true
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'I Want to Break Free' and 'Keep Passing the Open Windows' on its original track list?,,,,Jazz,false
Queen Quiz: Encore (Part 1),,Which Queen studio album has both 'I Want to Break Free' and 'Keep Passing the Open Windows' on its original track list?,,,,Innuendo,false
