QuizTitle,QuestionText,EditorialDifficulty,Source
Queen Quiz: Easy (Part 1),Which Queen member designed the band's crest logo?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 1),What was the name of Brian May and Roger Taylor's band before Queen?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 1),Which member of Queen studied dentistry before turning to biology?,Easy,https://www.queenonline.com/roger_taylor
Queen Quiz: Easy (Part 1),Which Queen album contains 'The Show Must Go On'?,Easy,https://www.queenonline.com/news/press-release-queen-greatest-hits-in-japan
Queen Quiz: Easy (Part 1),Which Queen album was released in 1984?,Easy,https://store.queenonline.com/
Queen Quiz: Easy (Part 1),Which Queen song was recorded with David Bowie?,Easy,QueenZone.Modern/data/queen_history_events.csv
Queen Quiz: Easy (Part 1),Which Queen album contains 'We Are the Champions'?,Easy,https://www.queenonline.com/news/royal-mail-issued-queen-stamps-now-on-general-sale
Queen Quiz: Easy (Part 1),Which Queen member wrote 'Radio Ga Ga'?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 1),Which Queen member wrote 'We Will Rock You'?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 1),How many musicians were in Queen's classic line-up?,Easy,https://www.queenonline.com/freddie_mercury
Queen Quiz: Easy (Part 1),Which Queen member wrote 'Another One Bites the Dust'?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 1),Which film featured Queen songs including 'A Kind of Magic' and 'Who Wants to Live Forever'?,Easy,"Ken Dean and Chris Charlesworth, Queen: A Visual Documentary (user-supplied text)"
Queen Quiz: Easy (Part 1),Which Queen album contains 'Seven Seas of Rhye' in its finished vocal version?,Easy,https://www.queenonline.com/news/royal-mail-issued-queen-stamps-now-on-general-sale
Queen Quiz: Easy (Part 1),Which Queen collection first appeared in 1981?,Easy,QueenZone.Modern/data/queen_history_events.csv
Queen Quiz: Easy (Part 1),Which Queen member wrote 'Bohemian Rhapsody'?,Easy,https://www.queenonline.com/news/out-today-bohemian-rhapsody-50th-anniversary-vinyl-reissues
Queen Quiz: Easy (Part 1),Which Queen member wrote 'You're My Best Friend'?,Easy,https://www.queenonline.com/news/out-today-bohemian-rhapsody-50th-anniversary-vinyl-reissues
Queen Quiz: Easy (Part 1),Which Queen album contains 'Radio Ga Ga'?,Easy,https://www.queenonline.com/news/royal-mail-issued-queen-stamps-now-on-general-sale
Queen Quiz: Easy (Part 1),Which Queen song became famous for its operatic middle section?,Easy,https://www.queenonline.com/news/out-today-bohemian-rhapsody-50th-anniversary-vinyl-reissues
Queen Quiz: Easy (Part 1),Who collaborated with Queen on 'Under Pressure'?,Easy,QueenZone.Modern/data/queen_history_events.csv
Queen Quiz: Easy (Part 1),Who joined last to complete Queen's classic line-up?,Easy,https://www.queenonline.com/john_deacon
Queen Quiz: Easy (Part 1),Which Queen album contains 'Another One Bites the Dust'?,Easy,https://www.queenonline.com/news/royal-mail-issued-queen-stamps-now-on-general-sale
Queen Quiz: Easy (Part 1),Which Queen album is named after a 1980 science-fiction film?,Easy,https://store.queenonline.com/
Queen Quiz: Easy (Part 1),At which London stadium did Queen play two famous 1986 shows?,Easy,"Ken Dean and Chris Charlesworth, Queen: A Visual Documentary (user-supplied text)"
Queen Quiz: Easy (Part 1),Which Queen song was written in a rockabilly style?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 1),Which Queen member was born in Zanzibar?,Easy,https://www.queenonline.com/freddie_mercury
Queen Quiz: Easy (Part 2),What was Queen's debut studio album called?,Easy,https://store.queenonline.com/
Queen Quiz: Easy (Part 2),Who was Queen's lead singer?,Easy,https://www.queenonline.com/freddie_mercury
Queen Quiz: Easy (Part 2),Which Queen album contains 'Somebody to Love'?,Easy,https://www.queenonline.com/news/press-release-queen-greatest-hits-in-japan
Queen Quiz: Easy (Part 2),Which Queen album contains 'Don't Stop Me Now'?,Easy,"Jacky Smith and Jim Jenkins, Queen: As It Began (user-supplied text)"
Queen Quiz: Easy (Part 2),Who played lead guitar in Queen's classic line-up?,Easy,https://www.queenonline.com/freddie_mercury
Queen Quiz: Easy (Part 2),Which Queen song opens with a distinctive stomp-stomp-clap beat?,Easy,https://www.queenonline.com/news/royal-mail-issued-queen-stamps-now-on-general-sale
