QuizTitle,QuestionText,EditorialDifficulty,Source
Queen Quiz: Before the Crown,Which future Queen drummer answered Brian May's noticeboard advert?,medium,data/queen_history_events.csv: AsItBeganBook / roger-answers-brian-may-s-imperial-college-noticeboard-ad-for-a-drummer-smile-is-formed-with-brian-roger-and-tim-1968
Queen Quiz: Before the Crown,At which college did Barry Mitchell first play a Queen gig in August 1970?,very hard,data/queen_history_events.csv: AsItBeganBook / queen-with-new-bassist-barry-mitchell-play-a-gig-at-imperial-college-1970-08-23
Queen Quiz: Before the Crown,Who played bass at Queen's first three shows in 1970?,hard,https://www.queenonline.com/live
Queen Quiz: Before the Crown,At what type of venue did John Deacon organise a 1972 Queen gig attended by just six people?,hard,data/queen_history_events.csv: AsItBeganBook / john-organises-a-gig-at-bedford-college-attended-by-just-six-people-one-of-his-most-embarrassing-moments-1972-01
Queen Quiz: Before the Crown,Which qualification did Freddie gain from Ealing College of Art in 1969?,hard,data/queen_history_events.csv: AsItBeganBook / freddie-graduates-from-ealing-college-with-a-diploma-in-graphic-art-and-design-and-buys-his-first-cheap-electric-guitar-1969
Queen Quiz: Before the Crown,Which London market did Freddie and Roger run a stall in?,hard,data/queen_history_events.csv: AsItBeganBook / freddie-joins-liverpool-band-ibex-as-lead-vocalist-and-also-takes-on-a-stall-in-kensington-market-with-roger-taylor-1969
Queen Quiz: Before the Crown,Which band member earned a biology degree before Queen's debut album?,medium,data/queen_history_events.csv: AsItBeganBook / roger-leaves-the-north-london-polytechnic-with-his-biology-degree-1972
Queen Quiz: Before the Crown,In which town did Brian May and his father begin building the Red Special?,hard,data/queen_history_events.csv: AsItBeganBook / brian-and-his-father-harold-begin-building-the-red-special-guitar-from-scratch-at-home-in-feltham-1963-08
Queen Quiz: Before the Crown,Which Truro venue hosted the first gig actually billed under the name Queen?,very hard,data/queen_history_events.csv: AsItBeganBook / queen-play-pj-s-in-truro-the-first-gig-actually-billed-under-the-name-queen-it-is-also-mike-grose-s-last-gig-with-1970-07-25
Queen Quiz: Before the Crown,"Which pre-Queen band included Freddie, Mike Bersin and Tupp Taylor?",hard,data/queen_history_events.csv: AsItBeganBook / freddie-forms-his-own-band-wreckage-with-richard-thompson-mike-bersin-and-tupp-taylor-playing-their-first-gig-at-1970
Queen Quiz: Before the Crown,What was the venue for 1984's first public gig in October 1964?,hard,data/queen_history_events.csv: AsItBeganBook / 1984-brian-s-first-band-play-their-first-public-gig-at-st-mary-s-church-hall-twickenham-1964-10-28
Queen Quiz: Before the Crown,Which college awarded John Deacon a first-class honours degree in electronics?,hard,data/queen_history_events.csv: AsItBeganBook / john-deacon-graduates-from-chelsea-college-with-a-first-class-honours-degree-in-electronics-1972-06
Queen Quiz: Before the Crown,At which unusual Epsom venue did Queen support Arthur Brown's Kingdom Come in 1971?,very hard,data/queen_history_events.csv: AsItBeganBook / queen-play-a-poor-acoustic-gig-at-a-swimming-baths-in-epsom-supporting-arthur-brown-s-kingdom-come-1971-12-09
Queen Quiz: Before the Crown,What was Roger Taylor's Truro band the Cousin Jacks briefly renamed?,hard,data/queen_history_events.csv: AsItBeganBook / roger-forms-the-band-the-cousin-jacks-briefly-renamed-the-falcons-in-truro-1963
Queen Quiz: Before the Crown,Which company released Queen's debut album in the United States?,hard,data/queen_history_events.csv: AsItBeganBook / elektra-records-releases-queen-s-debut-album-in-the-usa-it-eventually-climbs-to-number-83-on-the-billboard-chart-1973-09
Queen Quiz: Before the Crown,Which band did Smile support at their first public gig at Imperial College?,hard,data/queen_history_events.csv: AsItBeganBook / smile-play-their-first-public-gig-supporting-pink-floyd-at-imperial-college-1968-10-26
Queen Quiz: Before the Crown,Which future Queen member studied graphic design at Ealing College of Art?,hard,data/queen_history_events.csv: AsItBeganBook / freddie-begins-a-graphic-illustrating-course-at-ealing-college-of-art-where-he-meets-fellow-student-tim-staffell-1966-09
Queen Quiz: Before the Crown,Which band headlined Queen's first outdoor gig near Truro in 1971?,hard,data/queen_history_events.csv: AsItBeganBook / queen-play-their-first-outdoor-gig-a-festival-at-tregye-country-club-near-truro-on-a-bill-headed-by-arthur-brown-s-1971-08-21
Queen Quiz: Before the Crown,Which US label released Smile's 'Earth' single?,hard,data/queen_history_events.csv: AsItBeganBook / mercury-records-releases-smile-s-single-earth-b-w-step-on-me-in-the-usa-only-1969-08
Queen Quiz: Before the Crown,Which guitarist's band 1984 supported Jimi Hendrix at Imperial College in 1967?,hard,data/queen_history_events.csv: AsItBeganBook / 1984-support-jimi-hendrix-at-imperial-college-one-of-the-band-s-most-memorable-gigs-1967-05-13
Queen Quiz: Before the Crown,Which school gave Roger Taylor a choral scholarship?,hard,data/queen_history_events.csv: AsItBeganBook / roger-starts-at-truro-cathedral-school-on-a-choral-scholarship-1960-05
Queen Quiz: Before the Crown,At which college disco was John Deacon introduced to Brian May and Roger Taylor?,very hard,data/queen_history_events.csv: AsItBeganBook / john-is-introduced-to-roger-taylor-and-brian-may-at-a-maria-assumpta-college-disco-and-is-invited-to-audition-for-1971
Queen Quiz: Before the Crown,Which short-lived band did Freddie audition for in Leatherhead?,very hard,data/queen_history_events.csv: AsItBeganBook / freddie-becomes-lead-singer-of-sour-milk-sea-after-an-audition-in-leatherhead-the-band-splits-after-about-two-months-1969
Queen Quiz: Before the Crown,Which band did Smile support at a Richmond Athletic Club gig in early 1969?,very hard,data/queen_history_events.csv: AsItBeganBook / smile-support-yes-at-a-clubhouse-gig-at-the-richmond-athletic-club-1969-02
Queen Quiz: Before the Crown,Which Trident executive saw Queen at a Forest Hill hospital dance and offered a deal?,hard,data/queen_history_events.csv: AsItBeganBook / trident-s-barry-sheffield-sees-queen-live-at-a-hospital-dance-in-forest-hill-and-offers-them-a-contract-with-trident-1972-03-24
Queen Quiz: Before the Crown,"Which production company signed Queen to recording, publishing and management agreements?",hard,data/queen_history_events.csv: AsItBeganBook / queen-are-about-to-sign-with-trident-but-insist-on-three-separate-agreements-for-publishing-recording-and-management-1972-05
Queen Quiz: Before the Crown,How much weekly pay did Trident agree for each Queen member in 1972?,very hard,data/queen_history_events.csv: AsItBeganBook / trident-agrees-to-pay-each-member-of-queen-20-per-week-even-though-no-recording-deal-has-yet-been-signed-1972-09
Queen Quiz: Before the Crown,In which Indian town was Freddie's St Peter's boarding school?,hard,data/queen_history_events.csv: AsItBeganBook / aged-eight-freddie-is-sent-from-zanzibar-to-st-peter-s-english-boarding-school-in-panchgani-india-where-he-first-1954
Queen Quiz: Before the Crown,Which member of Queen played his first public gig with 1984 at St Mary's Church Hall?,medium,data/queen_history_events.csv: AsItBeganBook / 1984-brian-s-first-band-play-their-first-public-gig-at-st-mary-s-church-hall-twickenham-1964-10-28
Queen Quiz: Before the Crown,Which bassist played his last Queen shows in January 1971?,hard,data/queen_history_events.csv: AsItBeganBook / barry-mitchell-plays-his-last-two-gigs-with-queen-at-the-marquee-and-ewell-technical-college-supporting-kevin-1971-01-08
Queen Quiz: Before the Crown,What subject did Freddie study at Isleworth Polytechnic?,medium,data/queen_history_events.csv: AsItBeganBook / freddie-enrols-at-isleworth-polytechnic-to-study-for-an-a-level-in-art-1964-09
Queen Quiz: Before the Crown,Which subject did Roger Taylor start studying in London in 1967?,hard,data/queen_history_events.csv: AsItBeganBook / roger-begins-his-dentistry-degree-at-the-london-hospital-medical-school-1967-10
Queen Quiz: Before the Crown,Who introduced Freddie Bulsara to a Smile rehearsal while they were art-college friends?,hard,data/queen_history_events.csv: AsItBeganBook / tim-staffell-brings-art-college-friend-freddie-bulsara-to-a-smile-rehearsal-for-the-first-time-1969
Queen Quiz: Before the Crown,Which Cornish band did Roger Taylor join in 1965 before it became simply Reaction?,hard,data/queen_history_events.csv: AsItBeganBook / roger-joins-local-band-johnny-quale-and-the-reaction-1965
Queen Quiz: Before the Crown,Who replaced Mike Grose on bass in Queen's early 1970 line-up?,hard,https://www.queenonline.com/live
Queen Quiz: Before the Crown,At which Indian boarding school did young Freddie Bulsara study?,medium,data/queen_history_events.csv: AsItBeganBook / aged-eight-freddie-is-sent-from-zanzibar-to-st-peter-s-english-boarding-school-in-panchgani-india-where-he-first-1954
Queen Quiz: Before the Crown,At what kind of event did The Opposition play their first public gig?,very hard,data/queen_history_events.csv: AsItBeganBook / john-s-first-band-the-opposition-play-their-first-public-gig-at-a-house-party-1965-09-25
Queen Quiz: Before the Crown,How much did John Deacon pay for his first Eko bass?,very hard,data/queen_history_events.csv: AsItBeganBook / john-buys-his-first-bass-guitar-an-eko-for-22-taking-over-from-departing-bassist-clive-castledine-1966-04
Queen Quiz: Before the Crown,"After Johnny Quale left, who took over lead vocals in Reaction?",very hard,data/queen_history_events.csv: AsItBeganBook / singer-johnny-quale-leaves-the-band-roger-takes-over-lead-vocals-and-the-band-is-renamed-simply-reaction-1965-09
