QuizTitle,QuestionText,EditorialDifficulty,Source
Queen Quiz: Encore (Part 1),On which Queen studio album is 'Long Away' found in the original track list?,Easy,"Queen: Complete Works (user-supplied text), Part One: The Albums; A Day at the Races track list"
Queen Quiz: Encore (Part 1),Which Queen studio album has both 'Some Day One Day' and 'The Loser in the End' on its original track list?,Easy,"Queen: Complete Works (user-supplied text), Part One: The Albums; Queen II track list"
Queen Quiz: Encore (Part 1),On which TV competition's 2009 final did Brian May and Roger Taylor first perform with Adam Lambert?,Easy,https://www.queenonline.com/news/queen-the-greatest-queen-adam-lambert-the-first-gig-episode-46; https://www.queenonline.com/news/out-now-queen-adam-lambert-live-around-the-world; https://www.queenonline.com/news/press-release-queen-adam-lambert-release-you-are-the-champions-for-the-world-health-organization
Queen Quiz: Encore (Part 1),Which Queen studio album has both 'Lily of the Valley' and 'Now I'm Here' on its original track list?,Medium,"Queen: Complete Works (user-supplied text), Part One: The Albums; Sheer Heart Attack track list"
Queen Quiz: Encore (Part 1),On which Queen studio album is 'Modern Times Rock 'n' Roll' found in the original track list?,Medium,"Queen: Complete Works (user-supplied text), Part One: The Albums; Queen track list"
Queen Quiz: Encore (Part 1),Which Queen studio album has both 'I Want to Break Free' and 'Keep Passing the Open Windows' on its original track list?,Medium,"Queen: Complete Works (user-supplied text), Part One: The Albums; The Works track list"
Queen Quiz: Encore (Part 1),Which band did Freddie Mercury sing in while studying at Ealing College of Art?,Medium,https://www.queenonline.com/freddie_mercury
Queen Quiz: Encore (Part 1),On which Queen studio album is 'The Fairy Feller's Master-Stroke' found in the original track list?,Medium,"Queen: Complete Works (user-supplied text), Part One: The Albums; Queen II track list"
Queen Quiz: Encore (Part 1),Who sang 'Too Much Love Will Kill You' alone during Queen's main tribute set in 1992?,Medium,https://www.queenonline.com/news/press-release-the-freddie-mercury-tribute-concert-the-definitive-edition
Queen Quiz: Encore (Part 1),Which late Freddie vocal was inspired by the scenery around Montreux?,Medium,https://www.queenonline.com/news/made-in-heaven30-years-on
Queen Quiz: Encore (Part 1),On which Queen studio album is 'Rock It (Prime Jive)' found in the original track list?,Medium,"Queen: Complete Works (user-supplied text), Part One: The Albums; The Game track list"
Queen Quiz: Encore (Part 1),Which 2011 awards show featured an early Queen performance with Adam Lambert?,Medium,https://www.queenonline.com/news/queen-the-greatest-queen-adam-lambert-the-first-gig-episode-46; https://www.queenonline.com/news/out-now-queen-adam-lambert-live-around-the-world; https://www.queenonline.com/news/press-release-queen-adam-lambert-release-you-are-the-champions-for-the-world-health-organization
Queen Quiz: Encore (Part 1),Who wrote the Queen album track 'My Melancholy Blues'?,Hard,"Queen: Complete Works (user-supplied text), Part Three: The Songs; My Melancholy Blues"
Queen Quiz: Encore (Part 1),Who wrote the Queen album track 'It's Late'?,Hard,"Queen: Complete Works (user-supplied text), Part Three: The Songs; It's Late"
Queen Quiz: Encore (Part 1),"On the original A Day at the Races track list, what comes immediately before 'White Man'?",Hard,"Queen: Complete Works (user-supplied text), Part One: The Albums; A Day at the Races track list"
Queen Quiz: Encore (Part 1),What time of day does the front cover of 'Made in Heaven' depict?,Hard,https://www.queenonline.com/news/made-in-heaven30-years-on
