QuizTitle,QuestionText,EditorialDifficulty,Source
Flash Gordon: The Movie,Who plays Flash Gordon in the 1980 film?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who plays Dale Arden?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who portrays Ming the Merciless?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who plays Dr. Hans Zarkov?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who plays Prince Barin?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who plays Prince Vultan?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who plays the masked Klytus?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who plays Princess Aura?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,"To which planet do Flash, Dale, and Zarkov travel?",Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,What is Flash Gordon's profession on Earth?,Easy,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which band composed and performed the film's rock soundtrack?,Easy,https://www.queenonline.com/news/flash-gordon44-years-on
Flash Gordon: The Movie,Who directed Flash Gordon?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,In which year was the film released?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,What US rating did the film receive?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who created the comic-strip character on which the film is based?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Which ruler is threatening Earth?,Easy,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,Who owns the rocket that carries the heroes away from Earth?,Easy,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,What is Dale Arden's occupation in the film?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,What cosmic danger is threatening Earth near the start of the film?,Medium,https://www.universalpicturesathome.com/movies/flash-gordon
Flash Gordon: The Movie,What does Ming intend to make Dale?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who secretly arranges for Flash to survive his execution?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which kingdom is ruled by Prince Barin?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which people inhabit Sky City?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,What dangerous ritual does Barin force Flash to attempt in Arboria?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which war rocket do Flash and the Hawkmen seize?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,How does Flash fatally strike Ming?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which Earth sport does Flash imitate during the palace fight?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,What machine is used in an attempt to recondition Zarkov?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who commands the Hawkmen?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who rules Arboria?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which famous exclamation is delivered by Prince Vultan?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who wrote Queen's 'Flash's Theme'?,Medium,https://www.queenonline.com/news/flash-gordon44-years-on
Flash Gordon: The Movie,Which Queen song plays over the film's closing credits?,Medium,https://www.queenonline.com/news/flash-gordon44-years-on
Flash Gordon: The Movie,Who becomes the new ruler of Mongo after Ming's apparent defeat?,Medium,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who plays General Kala?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,"Who plays Fico, one of Prince Barin's followers?",Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,"Who plays Zogi, the high priest?",Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who wrote the film's credited screenplay?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who produced the film?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who was the film's director of photography?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who edited the film?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Who designed both the film's production and costumes?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,What running time does the AFI Catalog list?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,On what date did the film open in Los Angeles and New York?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,Which company distributed the film in the United States?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,When did principal photography begin in England?,Hard,https://catalog.afi.com/Film/53897-FLASH-GORDON
Flash Gordon: The Movie,How many tracks comprised Queen's finished soundtrack album?,Hard,https://www.queenonline.com/news/flash-gordon44-years-on
Flash Gordon: The Movie,Who supplied the additional orchestral arrangements?,Hard,https://www.queenonline.com/news/flash-gordon44-years-on
Flash Gordon: The Movie,At which studio was the soundtrack recorded?,Hard,https://www.queenonline.com/news/flash-gordon44-years-on
Flash Gordon: The Movie,On what date was Queen's Flash Gordon album released in the UK?,Hard,https://www.queenonline.com/news/flash-gordon44-years-on
Highlander: The Movie,Who plays Connor MacLeod?,Easy,https://catalog.afi.com/Film/57357-HIGHLANDER
